id;title;description;measurement;weightage;progress;status;due_date;created_at;updated_at;deleted_at;version
1;Pizza Ecuador Salad;IB;Account;2077;76132;Home Steel platf;2023-03-08;2023-03-08T22:38:24;2023-03-09T08:40:50;2023-03-09T04:43:54;6408
2;Product;Plastic Botswana IB;bandwidth-monitored;12629;15832;matrix;2023-03-09;2023-03-09T05:32:40;2023-03-09T05:08:45;2023-03-09T16:02:19;30394
3;Shoes indexing;Sausages;Sausages;88291;792;Applications;2023-03-09;2023-03-09T13:41:37;2023-03-09T11:15:57;2023-03-09T03:03:02;59427
4;Florida Peso Sheqel;Advanced;Investor Steel standardization;72935;92264;open-source Grov;2023-03-09;2023-03-09T00:48:58;2023-03-09T07:27:40;2023-03-08T18:12:52;71343
5;Incredible circuit;moderator;Solutions Berkshire;69048;37245;Naira;2023-03-08;2023-03-09T06:38:18;2023-03-08T21:04:47;2023-03-09T10:23:01;36616
6;integrated;Sharable generate Berkshire;firewall Upgradable;99323;51285;neural SQL metho;2023-03-09;2023-03-09T06:48:29;2023-03-09T15:15:19;2023-03-09T05:41:44;68554
7;invoice sexy Bolivar;California Account;New;42134;52492;Principal delive;2023-03-09;2023-03-09T07:22:12;2023-03-08T19:50:55;2023-03-08T19:54:56;71735
8;Plastic drive;Facilitator orange;Regional Account Adaptive;72857;71300;front-end mobile;2023-03-09;2023-03-08T17:51:12;2023-03-08T19:06:39;2023-03-09T14:14:09;269
9;platforms;Avon interface ivory;Intranet knowledge Practical;56676;48202;quantifying;2023-03-09;2023-03-09T15:30:44;2023-03-09T17:27:43;2023-03-09T07:05:28;25747
10;calculating Phased;hub Car Buckinghamshire;Kentucky hack turquoise;49565;26126;Group Quality;2023-03-08;2023-03-09T01:34:46;2023-03-08T20:48:25;2023-03-09T00:37:41;52054
