id;name;certificateno;issuingbody;date;createdat;updatedat;validtill;certificatecompetency;deletedat;employee_id
1;Optional productivity;Utah navigate;quantifying;2023-03-08T17:38:30;2023-03-09T06:24:22;2023-03-09T05:10:59;2023-03-09T10:55:29;uniform invoice Handcrafted;2023-03-08T18:29:19;1
2;District;Grocery Union;impactful Keyboard Liaison;2023-03-09T02:11:11;2023-03-09T00:25:49;2023-03-09T00:21:10;2023-03-09T00:25:51;Borders driver Account;2023-03-08T23:50:47;2
3;Cambridgeshire Division;Armenia;Licensed Personal;2023-03-09T02:00:48;2023-03-08T18:06:20;2023-03-08T17:36:57;2023-03-09T04:09:34;Freeway invoice;2023-03-08T21:48:32;3
4;Marino mobile;Senior payment;grid-enabled CSS copying;2023-03-09T13:03:17;2023-03-09T12:01:12;2023-03-09T15:46:23;2023-03-09T05:18:39;front-end Swiss;2023-03-09T10:35:31;4
5;Keyboard Cove;Customer invoice;Strategist Account core;2023-03-09T17:07:43;2023-03-09T01:38:51;2023-03-09T02:51:20;2023-03-09T16:19:05;Chips yellow;2023-03-09T08:22:22;5
6;Chicken Generic Mouse;Visionary Market portals;morph interfaces out-of-the-box;2023-03-09T14:49:01;2023-03-09T11:18:30;2023-03-09T01:44:59;2023-03-09T01:17:01;Iowa;2023-03-09T04:02:49;6
7;black technologies deposit;Outdoors Cotton programming;Investor Research action-items;2023-03-09T06:10:56;2023-03-09T06:36:10;2023-03-09T14:29:38;2023-03-09T06:12:08;Skyway;2023-03-09T05:22:24;7
8;Ngultrum;Sleek;technologies Chips Rubber;2023-03-09T10:07:16;2023-03-09T01:32:29;2023-03-09T03:24:40;2023-03-09T15:34:26;online;2023-03-09T12:39:04;8
9;interfaces circuit Kentucky;Iowa Solutions Stravenue;Executive Sol Alabama;2023-03-08T17:59:46;2023-03-09T15:24:36;2023-03-08T19:32:58;2023-03-09T14:12:37;upward-trending withdrawal Garden;2023-03-09T14:40:29;9
10;multi-byte Internal;evolve;Ringgit;2023-03-09T05:41:50;2023-03-09T13:34:39;2023-03-09T05:48:56;2023-03-08T22:53:49;cyan;2023-03-08T22:55:54;10
