id;reference;jhi_as;comments;approver_group;priority;status_date;created_at;updated_at;deleted_at;version;leave_request_id;status_id
1;Handcrafted eco-c;Centralized overriding;systemic Market Programmable;Awesome disintermediate connect;20327;2023-03-08T23:07:15;2023-03-09T09:23:38;2023-03-08T22:45:29;2023-03-09T09:32:32;91998;1;1
2;deposit;Managed bus;structure;program;89110;2023-03-09T10:05:08;2023-03-09T07:36:15;2023-03-08T18:39:14;2023-03-09T13:52:20;34984;2;2
3;B2C sensor;pixel;Soft mobile Accountability;Tuna Assimilated;524;2023-03-09T15:19:35;2023-03-09T00:38:11;2023-03-08T18:26:12;2023-03-09T06:47:17;14922;3;3
4;Berkshire Chief;CSS Fresh Pizza;Forks Implemented circuit;Buckinghamshire Sausages Islands,;75973;2023-03-08T20:26:49;2023-03-09T07:39:43;2023-03-09T06:03:46;2023-03-09T07:29:55;13439;4;4
5;back-end;high-level;Frozen;Practical Bacon;44089;2023-03-09T05:30:08;2023-03-09T08:40:05;2023-03-08T19:19:54;2023-03-09T10:50:20;63457;5;5
6;Fantastic User pa;Sudan;exploit;evolve Director;92426;2023-03-09T02:02:56;2023-03-08T21:06:59;2023-03-09T12:49:35;2023-03-09T06:57:31;48012;6;6
7;Honduras Practica;niches TCP;synthesize;Nicaragua;2600;2023-03-09T05:32:49;2023-03-09T04:46:49;2023-03-09T15:56:53;2023-03-09T01:24:37;89078;7;7
8;Pants Eritrea;Electronics Cotton Avon;protocol line Borders;Practical Accounts database;22607;2023-03-09T14:45:33;2023-03-09T10:57:02;2023-03-09T04:15:41;2023-03-09T16:27:29;3351;8;8
9;Avon;grey Handcrafted silver;fresh-thinking Configurable;web-enabled Administrator;19153;2023-03-09T15:02:42;2023-03-08T18:53:20;2023-03-09T02:45:31;2023-03-09T02:01:50;43133;9;9
10;SDD;Handmade compressing;Tactics;Forward;84527;2023-03-09T02:59:49;2023-03-09T03:25:34;2023-03-09T12:13:55;2023-03-09T11:59:31;79641;10;10
