id;criticalposition;highpotential;successorfor;criticalexperience;promotionreadiness;leadershipqualities;careerambitions;createdat;updatedat;employee_id
1;true;true;Texas;true;of;attitude incentivize Fresh;generate Health;2023-03-09T15:51:08;2023-03-09T08:18:20;1
2;true;false;Bedfordshire optimize;true;compelling Florida Wooden;Personal;Quality Assurance quantify;2023-03-09T06:57:30;2023-03-09T07:57:40;2
3;true;true;deliverables;true;generation Ville Small;Intranet Concrete;Keyboard;2023-03-09T08:47:39;2023-03-09T05:45:55;3
4;true;true;GB redundant;true;Peso Argentina;Unbranded;Intelligent Rhode deposit;2023-03-09T05:42:24;2023-03-09T14:43:46;4
5;true;false;Bedfordshire Pennsylvania Jamaica;true;driver Operations;Poland interactive bandwidth;Shoes;2023-03-09T16:07:53;2023-03-08T23:54:53;5
6;false;false;hack Cyprus Producer;true;Rupee;Maldives;Re-contextualized Practical;2023-03-09T11:02:07;2023-03-08T20:08:01;6
7;false;false;Granite;false;HTTP compress;Incredible invoice Small;Outdoors Intranet;2023-03-08T17:37:27;2023-03-09T02:31:49;7
8;true;true;Intelligent;false;Direct Metal;backing;Salad;2023-03-09T00:38:20;2023-03-08T17:50:08;8
9;true;true;fault-tolerant Movies web-readiness;false;Market Frozen;drive RAM;zero maroon archive;2023-03-09T00:32:35;2023-03-09T08:53:47;9
10;true;true;analyzer Oklahoma Investor;true;Hungary Rwanda;teal calculate;Sausages Cambridgeshire cross-media;2023-03-09T01:34:52;2023-03-09T12:17:46;10
