id;costcenter;comments;amountreleased;designation;department;location;manager;createdat;updatedat
1;Books transmitter Keyboard;payment Concrete Technician;17546;Cotton Arkansas interactive;Toys Ariary multimedia;hacking;Handcrafted;2023-03-08T22:50:51;2023-03-09T07:12:38
2;Northern;Ergonomic;82091;SMTP Iceland Branding;fault-tolerant;Computer reinvent;fuchsia transition Customer;2023-03-08T19:25:02;2023-03-08T20:00:21
3;redundant;invoice Outdoors Chicken;74243;architect Market payment;PCI reboot Salad;auxiliary Berkshire;Borders Incredible RSS;2023-03-09T04:38:47;2023-03-09T01:02:46
4;IB;embrace Plastic Saint;29057;pixel;e-services Open-architected Ball;projection SAS Specialist;networks Data Sleek;2023-03-09T02:05:04;2023-03-09T12:45:22
5;North auxiliary;Kuwaiti;90686;deposit Pants;Heights;reboot Alabama Texas;Avon;2023-03-09T08:53:38;2023-03-09T04:29:25
6;Regional Usability;JBOD;12071;systems;turquoise Beauty;Chair invoice Personal;Account withdrawal Books;2023-03-09T05:10:21;2023-03-09T05:22:25
7;Refined Functionality Dollar;Handmade;45932;blue hack PCI;Dollar;Self-enabling;mobile Account;2023-03-09T01:18:28;2023-03-09T14:55:39
8;Computers African;Lead;65108;24/365;1080p Accounts;incubate maroon Frozen;Account morph optical;2023-03-09T04:10:01;2023-03-09T11:06:19
9;Alley;Multi-layered HTTP;94406;Customer;Officer Dominican Saint;Buckinghamshire interfaces;emulation Unbranded;2023-03-09T17:07:27;2023-03-09T13:16:56
10;Mouse payment;Steel;63822;enhance Fresh project;Corporate;redefine turquoise back;Awesome deposit;2023-03-09T07:52:06;2023-03-09T17:07:05
