id;institute;major;degree;value;city;province;country;datefrom;dateto;createdat;updatedat;qualificationtype_id;employee_id
1;Lead Rubber;facilitate backing;red interactive Cotton;invoice green;Wintheiserport;Quality Tunnel deposit;Chad;2023-03-09T06:25:15;2023-03-09T02:38:41;2023-03-08T23:01:50;2023-03-09T01:20:51;1;1
2;morph override Harbors;calculating Market;Kroon leverage;Jewelery North;Kemmerchester;PCI Chips;Armenia;2023-03-09T17:05:38;2023-03-09T09:46:46;2023-03-09T09:10:58;2023-03-09T02:53:55;2;2
3;back-end 1080p;bus Solutions connect;Afghani deposit Outdoors;Markets generating;Zulaufshire;Clothing hacking;Saint Kitts and Nevis;2023-03-08T17:40:18;2023-03-08T23:12:16;2023-03-09T09:47:01;2023-03-09T00:31:42;3;3
4;Forward Borders Personal;Handmade;Qatar tan;Estate convergence Adaptive;New Roy;Associate Dynamic;Cuba;2023-03-08T23:44:18;2023-03-09T11:25:21;2023-03-09T01:30:14;2023-03-08T17:59:13;4;4
5;optimizing Architect;Corporate state;integrate circuit;lime;Luraburgh;Specialist;Argentina;2023-03-08T19:15:04;2023-03-08T20:14:06;2023-03-09T10:27:18;2023-03-09T13:47:34;5;5
6;revolutionary;Jewelery Indian payment;Bedfordshire Club;ADP;South Rebeccafort;Yen;Ghana;2023-03-09T16:30:31;2023-03-09T09:57:58;2023-03-08T19:10:35;2023-03-08T21:28:57;6;6
7;teal Bedfordshire;B2C Sausages Metal;monitor Small;toolset Granite Response;Oscarmouth;Louisiana Convertible;Slovenia;2023-03-09T06:50:55;2023-03-09T05:53:15;2023-03-09T16:12:19;2023-03-09T00:48:51;7;7
8;Garden web-enabled;Table systemic Account;Executive Handcrafted;backing Parks Bike;South Anabelburgh;Soft bleeding-edge Path;Thailand;2023-03-09T16:57:57;2023-03-09T16:49:24;2023-03-08T19:01:49;2023-03-09T02:46:56;8;8
9;bus Metal;Kina Fantastic Versatile;needs-based RSS;Louisiana compelling Mouse;Coconut Creek;Account Legacy;Greece;2023-03-09T01:40:57;2023-03-09T11:33:31;2023-03-09T09:20:49;2023-03-09T02:53:00;9;9
10;quantify Applications;Intelligent pixel SSL;Plastic;niches;New Stanleyberg;redundant real-time;French Polynesia;2023-03-08T23:29:37;2023-03-08T22:24:38;2023-03-09T14:28:51;2023-03-09T14:52:14;10;10
