id;projectid;comments;amountreleased;designation;department;location;manager;createdat;updatedat
1;80244;clear-thinking;58772;encryption;empower;Peso withdrawal monitor;New Analyst Account;2023-03-09T11:03:30;2023-03-08T20:24:09
2;39762;Computers aggregate;38669;state;Alley strategize;Belarus;Turnpike system Central;2023-03-09T07:18:14;2023-03-09T00:51:46
3;67727;Garden South;76340;Granite 5th Philippines;Riel transmit Plastic;Cheese synergies Legacy;Frozen azure;2023-03-09T01:26:20;2023-03-09T11:39:35
4;79302;Peso;31946;Chicken;Metal;protocol;Mouse multi-tasking deposit;2023-03-09T11:16:37;2023-03-09T13:52:20
5;33287;encoding;82668;Infrastructure;Refined XSS;deposit;Prairie;2023-03-09T07:30:07;2023-03-09T03:36:42
6;74792;Industrial transform;96408;navigate Soft Wooden;drive compressing infomediaries;leading-edge;Metal transparent;2023-03-09T11:38:32;2023-03-09T03:41:26
7;91920;Sports;9887;sexy maroon;Shoes Customer-focused;navigate open-source Computer;Berkshire Buckinghamshire;2023-03-09T11:22:57;2023-03-09T03:35:26
8;15194;turquoise Plaza drive;61574;e-business SCSI reintermediate;Rubber;Borders;Fresh;2023-03-09T01:58:26;2023-03-08T23:24:46
9;24357;SCSI Hawaii Lilangeni;79490;Kroon Greece;unleash;monitoring architectures Colombian;Fresh robust auxiliary;2023-03-08T19:16:45;2023-03-09T16:52:27
10;51498;withdrawal Idaho;20141;payment Argentina port;Greens convergence extend;Chicken Automotive;systems Creative reboot;2023-03-09T08:37:34;2023-03-09T07:37:32
