id;title;description;measurement;created_at;updated_at;deleted_at;version
1;Belarus SAS;olive Manat;capability Christmas Florida;2023-03-09T04:15:11;2023-03-09T06:50:37;2023-03-09T00:40:25;4993
2;well-modulated deposit;Concrete;Avon Gloves solid;2023-03-08T22:07:22;2023-03-09T06:37:37;2023-03-08T21:32:27;71960
3;Forward clicks-and-mortar Car;payment Pizza;Incredible Realigned El;2023-03-09T10:44:13;2023-03-09T15:48:09;2023-03-09T15:30:11;25079
4;Rue;Product;Western Sum;2023-03-09T05:46:27;2023-03-08T21:23:42;2023-03-08T23:22:39;71659
5;Consultant quantifying;Paradigm;optical service-desk Rubber;2023-03-09T11:31:34;2023-03-09T04:29:20;2023-03-09T07:31:14;47746
6;Future system;seize;Soft;2023-03-09T17:07:11;2023-03-09T03:35:18;2023-03-08T18:02:56;37745
7;Kansas Pennsylvania architecture;Web complexity;Tuna connect cultivate;2023-03-09T02:09:56;2023-03-09T05:26:27;2023-03-09T01:46:46;49317
8;override;Director invoice;Dinar parsing quantifying;2023-03-09T10:11:49;2023-03-09T11:43:04;2023-03-09T12:22:13;11624
9;Handmade Unbranded budgetary;Salad;innovative Chief;2023-03-09T09:39:43;2023-03-08T21:11:32;2023-03-09T01:39:26;71327
10;Account;Cambridgeshire;Buckinghamshire Kentucky;2023-03-09T10:26:19;2023-03-09T10:37:11;2023-03-09T01:03:00;56156
