id;referenceid;designation;approveorder;reference;comments;approvedby;createdat;updatedat
1;32016;Liaison;68006;Checking Internal;Krone interfaces XSS;invoice;2023-03-08T21:25:04;2023-03-09T10:34:02
2;92936;Applications leverage;86057;Gambia Alaska;magenta Sausages deposit;maximized Chips Garden;2023-03-09T11:41:35;2023-03-09T16:36:22
3;50529;multi-byte Colorado Account;77131;digital Plastic relationships;Bangladesh;indigo SCSI Riyal;2023-03-08T18:22:01;2023-03-08T18:01:15
4;18536;Planner Fantastic;9031;Keyboard Tasty Mississippi;Berkshire Berkshire;Brand;2023-03-09T07:03:25;2023-03-09T11:55:59
5;12964;invoice;35659;Buckinghamshire Refined Papua;Uganda Creative;Central users redundant;2023-03-08T22:00:42;2023-03-09T11:34:42
6;79684;Table Bhutanese fuchsia;58774;workforce Engineer withdrawal;connect Generic Centralized;Bypass Franc;2023-03-09T00:33:59;2023-03-09T16:38:33
7;51725;ivory Assistant Market;68166;Metal;Kuwait Program;framework;2023-03-08T23:12:28;2023-03-08T19:08:03
8;99648;architecture;53615;Buckinghamshire interface Isle;violet;Avon Federation;2023-03-09T12:48:06;2023-03-08T22:41:23
9;45022;Wooden South Central;14393;hack Soft complexity;Bacon Chief;RAM;2023-03-09T12:02:17;2023-03-09T16:32:02
10;74438;transmitter;43035;Keyboard;Proactive;Denar;2023-03-09T02:30:07;2023-03-08T19:46:14
