id;dealreqidentifier;competencyname;skills;resourcerequired;minexperiencelevel;maxexperiencelevel;createdat;updatedat;deletedat
1;Granite;Steel SDD;Tasty Dobra;45726;monitor;state Gloves sensor;2023-03-08T19:10:55;2023-03-09T16:14:10;2023-03-09T12:40:32
2;Lane best-of-breed incremental;Guatemala Regional;generate Enterprise-wide up;71945;Officer generating navigate;Assimilated;2023-03-09T01:48:58;2023-03-09T08:21:52;2023-03-09T00:00:53
3;reintermediate Loan;Mississippi;solution;24646;optical Sausages;Computers policy Avon;2023-03-09T04:50:41;2023-03-08T20:43:57;2023-03-09T01:49:50
4;Analyst;indigo synthesize calculate;XML Berkshire;77382;digital;payment Liaison;2023-03-09T12:56:35;2023-03-09T00:53:08;2023-03-08T18:59:13
5;high-level;circuit port;didactic Baby Liaison;60883;Communications Interactions cross-platform;Soft;2023-03-08T23:57:33;2023-03-09T02:59:23;2023-03-09T08:31:38
6;Generic Well;JBOD Applications;panel haptic;18393;Azerbaijan;Rico;2023-03-09T16:22:53;2023-03-08T21:14:07;2023-03-09T04:08:45
7;transparent;Ports Senegal Human;Accountability;78422;Account up optical;Sports New Baby;2023-03-09T11:01:42;2023-03-09T14:39:52;2023-03-09T17:11:54
8;utilize District Principal;input Savings;Account bi-directional;90797;migration XSS;Executive well-modulated Generic;2023-03-09T10:16:55;2023-03-08T17:54:30;2023-03-09T04:32:11
9;Soft BEAC Minnesota;Sleek;invoice Computers;46063;overriding backing embrace;Liechtenstein;2023-03-09T12:42:51;2023-03-09T00:18:07;2023-03-09T13:31:53
10;indexing Union;Supervisor Account;disintermediate action-items;80422;panel object-oriented Berkshire;GB intuitive;2023-03-09T17:28:49;2023-03-09T01:52:50;2023-03-08T22:31:55
