id;dealnumber;dealname;businessunit;clientname;dealowner;proposaltype;projectid;expectedstartdate;stage;probability;projectduration;type;status;closedat;createdat;updatedat;deletedat;resourcingenteredinvendians
1;bandwidth;Namibia Steel Rupee;invoice Republic;engage;AI;Fresh Account;64906;2023-03-08T21:42:33;emulation customer;3798;17874;Lats Acco;Prairie ;2023-03-09T11:25:49;2023-03-08T20:34:07;2023-03-09T15:31:15;2023-03-09T00:59:02;false
2;deposit;magenta;Future Summit;syndicate Course;Krone;Grocery Directives quantifying;4574;2023-03-09T16:08:28;neural Cotton;49259;15980;transmit ;ability ;2023-03-08T17:42:34;2023-03-08T18:37:46;2023-03-09T13:59:08;2023-03-08T23:22:22;true
3;Licensed;Point holistic Cambridgeshire;Pound grow;Granite;GB;Tunnel wireless;74832;2023-03-08T18:23:16;Ethiopian Ocean;2393;96349;Borders a;hacking ;2023-03-09T14:15:04;2023-03-08T21:56:02;2023-03-09T00:12:23;2023-03-09T07:14:26;false
4;policy;Rubber Ergonomic Future-proofed;Investment Chad Market;Principal;Orchestrator;Washington relationships;67503;2023-03-09T12:08:35;Lock pink Bolivar;40852;24265;Handmade ;Concrete;2023-03-09T13:19:20;2023-03-09T10:33:31;2023-03-08T23:08:13;2023-03-09T16:26:35;false
5;hacking Pizza Gloves;Ergonomic;payment connecting convergence;archive Cotton;Small Pizza;generate Garden Baby;86611;2023-03-09T05:19:23;Avon Automotive navigating;78376;41819;XSS;Arkansas;2023-03-09T01:44:09;2023-03-08T22:24:50;2023-03-09T16:54:34;2023-03-08T23:54:36;true
6;Interactions didactic;red Turkmenistan methodology;grow;model;invoice;optimal programming;46505;2023-03-09T04:52:31;Generic Account;70822;41581;Nevada;override;2023-03-08T23:13:31;2023-03-09T02:49:13;2023-03-08T18:23:24;2023-03-09T06:11:49;false
7;synergistic bypass Fantastic;bypass;application Euro;Fish;Fish Account interfaces;Engineer Games;89291;2023-03-09T07:25:00;Arkansas logistical HDD;61959;62817;Graphic;Mongolia;2023-03-09T09:07:27;2023-03-09T06:02:20;2023-03-09T07:39:36;2023-03-09T00:56:19;true
8;Director;Reactive interactive;AGP;target Uganda neural-net;metrics Outdoors;Avon;27041;2023-03-09T02:22:33;Officer;61562;43180;Designer ;empoweri;2023-03-08T18:22:13;2023-03-08T23:01:08;2023-03-08T18:17:52;2023-03-09T09:19:46;false
9;Arizona mobile Applications;niches revolutionary;redundant;Security quantifying Home;Refined Vista magenta;Borders;61897;2023-03-09T05:12:23;Wooden Associate;20724;85708;Kansas so;Texas Ac;2023-03-09T03:50:56;2023-03-08T22:59:21;2023-03-08T22:38:54;2023-03-08T18:23:33;false
10;Soft Group;Granite Computers Centralized;open-source Croatian Boliviano;improvement Technician;Functionality;system relationships Australia;85409;2023-03-09T09:29:25;Virginia;59913;35593;Avon;Compatib;2023-03-09T11:07:59;2023-03-09T02:11:58;2023-03-09T01:51:51;2023-03-09T09:28:24;true
