id;name;description;group_name;isactive;createdat;updatedat
1;Sports JSON IB;Rubber digital;auxiliary;true;2023-03-08T20:16:59;2023-03-09T09:04:45
2;reintermediate white;Buckinghamshire;zero payment Solutions;false;2023-03-09T15:50:59;2023-03-09T14:11:05
3;SSL Open-architected streamline;Handcrafted;Automotive;true;2023-03-09T00:25:15;2023-03-09T12:49:04
4;Dynamic Plastic Indonesia;bypass azure Account;Intelligent Managed;false;2023-03-09T13:43:05;2023-03-09T05:08:44
5;Stand-alone SMS Via;Bedfordshire;Exclusive deposit;true;2023-03-09T11:55:55;2023-03-09T00:50:37
6;cross-platform;hack Wooden;Jersey SAS;true;2023-03-09T12:38:29;2023-03-09T08:54:33
7;out-of-the-box payment;uniform;Handcrafted;false;2023-03-08T23:53:19;2023-03-09T01:32:08
8;impactful system-worthy;backing;Account Granite;true;2023-03-09T13:15:34;2023-03-09T10:28:41
9;Forward Intelligent deliverables;disintermediate;Bike orange;true;2023-03-09T17:32:53;2023-03-09T06:52:03
10;South Fresh;services Facilitator wireless;Rustic card synthesizing;false;2023-03-09T02:07:11;2023-03-08T19:15:07
