id;startdate;enddate;requesternote;managernote;currentstatus;leavescanceled;requestdate;linkstring;linkused;createdat;updatedat;ishalfday;actiondate;lmstatus;pmstatus;isbench;isescalated;iscommented;isreminded;isnotified;isremindedhr;isdm
1;2023-03-09T15:42:18;2023-03-08T20:21:59;fuchsia Books discrete;microchip;haptic virtual Engineer;true;2023-03-09T12:44:40;wireless;true;2023-03-09T09:26:13;2023-03-09T12:29:53;false;2023-03-08T19:53:52;Gloves;overriding;false;false;true;true;true;false;false
2;2023-03-09T06:40:25;2023-03-09T05:52:38;plug-and-play programming Multi-lateral;pink;Metrics;false;2023-03-08T20:01:29;matrix;false;2023-03-09T05:25:09;2023-03-09T13:54:31;true;2023-03-09T16:44:38;infomediaries Quality Configurable;Applications;false;false;false;true;true;false;true
3;2023-03-09T13:41:22;2023-03-09T17:25:59;Communications CSS Fresh;Computer microchip;back-end Home;true;2023-03-08T23:49:39;internet;false;2023-03-09T06:09:06;2023-03-09T07:15:44;false;2023-03-09T10:50:12;Hollow fuchsia synergize;visualize Vietnam;false;false;true;true;false;false;true
4;2023-03-08T22:30:08;2023-03-09T13:46:31;help-desk;bleeding-edge Rubber;Handcrafted standardization Tasty;false;2023-03-09T09:34:13;Awesome USB;false;2023-03-09T16:25:23;2023-03-08T19:17:40;true;2023-03-09T11:12:23;Panama cultivate;Paradigm;false;true;false;true;false;true;true
5;2023-03-09T16:05:31;2023-03-09T17:31:53;salmon;encryption;index;false;2023-03-08T21:12:32;Directives;true;2023-03-08T22:48:20;2023-03-09T15:59:14;false;2023-03-09T00:44:19;optimal envisioneer Cambridgeshire;Avon blockchains;true;true;false;true;false;false;true
6;2023-03-09T15:18:47;2023-03-09T06:24:53;algorithm Buckinghamshire payment;hack Interactions;neural 6th Montana;true;2023-03-09T06:06:53;Concrete e-markets;true;2023-03-08T22:33:42;2023-03-09T02:26:08;true;2023-03-08T20:08:28;infrastructure facilitate;Planner 1080p bypass;true;false;true;false;false;false;true
7;2023-03-09T00:36:22;2023-03-09T07:26:22;Home Nepalese whiteboard;PNG Granite;payment;false;2023-03-08T21:56:24;Indian indexing quantifying;false;2023-03-09T16:01:40;2023-03-09T16:46:29;true;2023-03-09T13:12:35;Representative purple Designer;Turnpike deposit Kwacha;true;false;false;true;true;true;true
8;2023-03-09T03:08:49;2023-03-09T04:16:00;Marketing Bike;protocol;implement;true;2023-03-09T10:24:08;Automated;false;2023-03-09T13:15:51;2023-03-08T23:22:25;true;2023-03-09T10:28:49;Frozen;payment Soap;false;true;true;false;false;false;false
9;2023-03-09T08:49:29;2023-03-09T12:03:19;human-resource;Orchestrator;Solutions Rupee;true;2023-03-09T00:32:24;application bricks-and-clicks Interactions;false;2023-03-09T02:03:44;2023-03-09T04:12:29;true;2023-03-08T18:23:03;Account Dynamic best-of-breed;Towels;true;false;false;false;true;true;false
10;2023-03-09T04:38:29;2023-03-08T20:53:05;Account United hacking;Mouse;Guinea;false;2023-03-09T16:46:10;Awesome Borders;false;2023-03-08T22:40:01;2023-03-09T07:24:41;false;2023-03-09T12:43:24;Gloves Synergistic;firewall Loaf back-end;true;false;false;true;false;false;false
