id;status;type;startdate;enddate;name;allocation;billed;createdat;updatedat;deliverymanagerid;architectid;notes;previousenddate;data;extendedenddate;probability
1;false;Integration;2023-03-09T04:10:11;2023-03-09T03:16:57;repurpose 24/7;false;generating;2023-03-08T20:34:53;2023-03-09T05:05:04;14788;81147;Paradigm;2023-03-08T23:35:15;generate Virginia;2023-03-09T15:37:36;maroon
2;true;tan cross-pl;2023-03-09T02:21:59;2023-03-09T15:11:14;Throughway Outdoors Bahrain;true;Investment cust;2023-03-09T11:29:53;2023-03-09T11:31:19;48270;39967;Technician brand;2023-03-08T18:57:34;invoice orange Franc;2023-03-09T15:41:11;tertiary integrate
3;false;Passage webs;2023-03-09T11:49:27;2023-03-09T13:12:20;District Bedfordshire;true;Belarus Chicken;2023-03-08T21:19:55;2023-03-09T14:40:45;30912;73719;synergize;2023-03-09T03:32:32;ADP neural;2023-03-09T01:31:47;Cordoba connecting
4;false;De-engineere;2023-03-09T02:43:30;2023-03-09T14:26:31;turquoise;false;Dynamic e-busin;2023-03-09T06:02:27;2023-03-09T13:51:43;68830;31020;calculate 1080p;2023-03-08T23:39:36;Automotive;2023-03-08T20:48:29;fresh-thinking
5;false;scalable;2023-03-08T20:39:18;2023-03-09T07:29:57;U.S. Ergonomic;true;Pre-emptive;2023-03-09T16:09:22;2023-03-09T15:04:23;91628;74521;Engineer;2023-03-09T08:23:28;Consultant Handmade;2023-03-08T21:59:37;Bedfordshire
6;true;deposit SCSI;2023-03-09T16:06:28;2023-03-09T10:16:54;Security;true;North fuchsia p;2023-03-09T08:24:36;2023-03-08T18:37:53;40022;88483;architect input;2023-03-09T14:33:59;Keyboard CSS web-readiness;2023-03-09T15:38:55;microchip up
7;false;Rubber trans;2023-03-09T10:40:42;2023-03-08T20:43:50;International explicit Views;false;Incredible prog;2023-03-09T00:21:50;2023-03-09T01:42:39;89121;53697;Sleek sticky Director;2023-03-09T06:48:13;Texas Customer Object-based;2023-03-09T07:27:37;Investment compelling
8;true;mission-crit;2023-03-08T20:25:21;2023-03-09T04:13:03;Awesome XML challenge;false;Steel transform;2023-03-09T09:46:19;2023-03-09T16:57:18;17246;15670;Customer hack;2023-03-09T00:18:33;24/7 Architect Liaison;2023-03-09T05:46:18;Concrete driver Kwacha
9;false;Bolivar;2023-03-09T07:42:07;2023-03-09T09:46:10;Tasty revolutionize;true;quantifying pay;2023-03-09T13:59:27;2023-03-09T07:04:24;98601;25822;Account Car withdrawal;2023-03-08T23:31:29;Secured quantifying;2023-03-09T09:27:33;Cambridgeshire green withdrawal
10;true;card synthes;2023-03-09T08:06:42;2023-03-09T12:42:01;projection Chair payment;true;payment haptic ;2023-03-09T08:22:51;2023-03-09T13:19:03;88949;84124;indexing;2023-03-08T20:56:05;model Tasty hacking;2023-03-09T04:57:31;feed Card
