id;user_id;reference;jhi_as;comment;status;staus_date;priority;created_at;updated_at;deleted_at;version;approver_group_id
1;Refined purple withdrawal;monitor bypassing;teal;incremental structure;Home mul;2023-03-09T14:00:49;63597;2023-03-08T22:19:40;2023-03-09T15:11:31;2023-03-09T09:07:43;20892;1
2;Consultant Cameroon;District;withdrawal;Gourde payment model;Turkey L;2023-03-08T21:29:39;32930;2023-03-09T01:42:46;2023-03-08T19:14:53;2023-03-09T00:58:52;74598;2
3;network;Licensed;Computer eyeballs Open-architected;Licensed Ergonomic;Agent;2023-03-09T12:48:52;93581;2023-03-09T09:55:08;2023-03-09T16:35:24;2023-03-09T06:36:50;42867;3
4;systems deliverables input;Multi-channelled ;Borders Rustic;Korea Forward Program;extranet;2023-03-08T23:42:18;72690;2023-03-09T01:45:54;2023-03-08T22:48:00;2023-03-09T04:22:26;64511;4
5;white;Dale digital reci;bypassing payment Crescent;innovative dynamic;e-commer;2023-03-09T03:17:32;93892;2023-03-09T12:56:02;2023-03-08T21:10:30;2023-03-09T15:53:21;43478;5
6;neural;Account Automotiv;multi-byte Pants withdrawal;Public-key;Table Be;2023-03-09T04:52:14;38997;2023-03-08T20:47:46;2023-03-09T14:18:59;2023-03-09T13:44:47;62403;6
7;Nuevo;Integration Moldo;defect connecting American;Wooden interfaces;Cambridg;2023-03-08T23:54:41;93084;2023-03-08T23:04:00;2023-03-09T16:46:36;2023-03-09T00:54:01;21312;7
8;Rustic yellow;Principal;District;Jewelery bandwidth Ergonomic;Union AD;2023-03-09T12:12:29;4681;2023-03-09T02:59:10;2023-03-09T05:28:10;2023-03-09T16:29:51;82632;8
9;deposit Rubber virtual;withdrawal Square;Buckinghamshire parse;actuating Reduced;Tennesse;2023-03-09T15:38:55;26641;2023-03-08T23:14:42;2023-03-09T02:46:00;2023-03-09T09:21:49;57089;9
10;Ways;navigating back-e;PCI Jersey XML;port definition;Internal;2023-03-09T02:32:50;17053;2023-03-09T00:50:32;2023-03-08T19:15:46;2023-03-08T20:29:10;60383;10
